Record Length,Analog:100000
Sample Interval,CH3:2.000000E-07
Vertical Units, CH3:V
Vertical Scale, CH3:+2.000000E-01
Vertical Offset, CH3:-2.000000E-01
Horizontal Units,s
Horizontal Scale,+2.000000E-03
Model Number,T3DSO2354A
Serial Number,T0101C22190207
Software Version,5.0.1.3.9R12
Source,CH3
Second,Value
-7.5200000000E-03,+1.833333E-02
-7.5198000000E-03,-3.333330E-03
-7.5196000000E-03,+1.666665E-03
-7.5194000000E-03,-1.666665E-03
-7.5192000000E-03,+1.666665E-03
-7.5190000000E-03,+4.999995E-03
-7.5188000000E-03,+3.333330E-03
-7.5186000000E-03,+8.333325E-03
-7.5184000000E-03,+1.666665E-03
-7.5182000000E-03,+1.666665E-03
-7.5180000000E-03,+1.666667E-02
-7.5178000000E-03,+4.999995E-03
-7.5176000000E-03,-1.166667E-02
-7.5174000000E-03,+3.333330E-03
-7.5172000000E-03,-1.666665E-03
-7.5170000000E-03,+8.333325E-03
-7.5168000000E-03,+1.666665E-03
-7.5166000000E-03,+1.333334E-02
-7.5164000000E-03,+1.000001E-02
-7.5162000000E-03,+8.333325E-03
-7.5160000000E-03,-1.666665E-03
-7.5158000000E-03,-1.666665E-03
-7.5156000000E-03,+1.000001E-02
-7.5154000000E-03,-4.999995E-03
-7.5152000000E-03,+1.333334E-02
-7.5150000000E-03,+6.666660E-03
-7.5148000000E-03,-1.666665E-03
-7.5146000000E-03,+0.000000E+00
-7.5144000000E-03,+3.333330E-03
-7.5142000000E-03,-1.666665E-03
-7.5140000000E-03,+3.333330E-03
-7.5138000000E-03,-4.999995E-03
-7.5136000000E-03,+4.999995E-03
-7.5134000000E-03,+0.000000E+00
-7.5132000000E-03,-3.333330E-03
-7.5130000000E-03,+3.333330E-03
-7.5128000000E-03,+8.333325E-03
-7.5126000000E-03,+1.000001E-02
-7.5124000000E-03,-6.666675E-03
-7.5122000000E-03,+1.666665E-03
-7.5120000000E-03,+1.166667E-02
-7.5118000000E-03,-1.333334E-02
-7.5116000000E-03,+1.000001E-02
-7.5114000000E-03,-2.333334E-02
-7.5112000000E-03,+1.666665E-03
-7.5110000000E-03,+3.333330E-03
-7.5108000000E-03,+8.333325E-03
-7.5106000000E-03,+1.000001E-02
-7.5104000000E-03,-1.666665E-03
-7.5102000000E-03,+6.666660E-03
-7.5100000000E-03,+1.166667E-02
-7.5098000000E-03,+3.333330E-03
-7.5096000000E-03,+1.333334E-02
-7.5094000000E-03,+1.166667E-02
-7.5092000000E-03,+3.333330E-03
-7.5090000000E-03,-1.666665E-03
-7.5088000000E-03,+1.000001E-02
-7.5086000000E-03,-8.333340E-03
-7.5084000000E-03,+4.999995E-03
-7.5082000000E-03,+1.166667E-02
-7.5080000000E-03,+8.333325E-03
-7.5078000000E-03,+6.666660E-03
-7.5076000000E-03,+3.333330E-03
-7.5074000000E-03,+1.166667E-02
-7.5072000000E-03,+6.666660E-03
-7.5070000000E-03,-1.666665E-03
-7.5068000000E-03,+3.333330E-03
-7.5066000000E-03,-2.000000E-02
-7.5064000000E-03,+1.666667E-02
-7.5062000000E-03,+1.333334E-02
-7.5060000000E-03,+3.333330E-03
-7.5058000000E-03,+6.666660E-03
-7.5056000000E-03,-1.166667E-02
-7.5054000000E-03,+1.666667E-02
-7.5052000000E-03,+1.666665E-03
-7.5050000000E-03,+6.666660E-03
-7.5048000000E-03,+1.166667E-02
-7.5046000000E-03,-1.333334E-02
-7.5044000000E-03,+0.000000E+00
-7.5042000000E-03,+1.000001E-02
-7.5040000000E-03,-6.666675E-03
-7.5038000000E-03,+1.333334E-02
-7.5036000000E-03,+0.000000E+00
-7.5034000000E-03,+1.000001E-02
-7.5032000000E-03,+4.999995E-03
-7.5030000000E-03,+6.666660E-03
-7.5028000000E-03,+6.666660E-03
-7.5026000000E-03,+1.166667E-02
-7.5024000000E-03,+4.999995E-03
-7.5022000000E-03,+2.000000E-02
-7.5020000000E-03,+1.333334E-02
-7.5018000000E-03,+4.999995E-03
-7.5016000000E-03,+3.333330E-03
-7.5014000000E-03,+0.000000E+00
-7.5012000000E-03,+1.333334E-02
-7.5010000000E-03,+1.666665E-03
-7.5008000000E-03,+0.000000E+00
-7.5006000000E-03,+4.999995E-03
-7.5004000000E-03,+1.000001E-02
-7.5002000000E-03,-4.999995E-03
-7.5000000000E-03,+0.000000E+00
-7.4998000000E-03,+1.833333E-02
-7.4996000000E-03,+4.999995E-03
-7.4994000000E-03,-3.333330E-03
-7.4992000000E-03,+0.000000E+00
-7.4990000000E-03,+1.666667E-02
-7.4988000000E-03,+1.333334E-02
-7.4986000000E-03,+1.666667E-02
-7.4984000000E-03,+8.333325E-03
-7.4982000000E-03,+1.166667E-02
-7.4980000000E-03,-1.666665E-03
-7.4978000000E-03,+2.333333E-02
-7.4976000000E-03,+1.333334E-02
-7.4974000000E-03,+8.333325E-03
-7.4972000000E-03,+4.999995E-03
-7.4970000000E-03,+8.333325E-03
-7.4968000000E-03,+8.333325E-03
-7.4966000000E-03,+1.666665E-03
-7.4964000000E-03,-3.333330E-03
-7.4962000000E-03,-1.666665E-03
-7.4960000000E-03,+6.666660E-03
-7.4958000000E-03,+0.000000E+00
-7.4956000000E-03,+6.666660E-03
-7.4954000000E-03,+1.333334E-02
-7.4952000000E-03,-4.999995E-03
-7.4950000000E-03,+1.000001E-02
-7.4948000000E-03,-1.666665E-03
-7.4946000000E-03,+1.666665E-03
-7.4944000000E-03,+3.333330E-03
-7.4942000000E-03,-1.666665E-03
-7.4940000000E-03,+1.666665E-03
-7.4938000000E-03,+8.333325E-03
-7.4936000000E-03,+4.999995E-03
-7.4934000000E-03,-3.333330E-03
-7.4932000000E-03,-4.999995E-03
-7.4930000000E-03,-6.666675E-03
-7.4928000000E-03,-4.999995E-03
-7.4926000000E-03,+8.333325E-03
-7.4924000000E-03,+1.166667E-02
-7.4922000000E-03,-3.333330E-03
-7.4920000000E-03,+1.500000E-02
-7.4918000000E-03,-1.000001E-02
-7.4916000000E-03,+4.999995E-03
-7.4914000000E-03,+6.666660E-03
-7.4912000000E-03,+3.333330E-03
-7.4910000000E-03,+1.666665E-03
-7.4908000000E-03,+1.500000E-02
-7.4906000000E-03,+1.666665E-03
-7.4904000000E-03,-8.333340E-03
-7.4902000000E-03,+1.666665E-03
-7.4900000000E-03,+3.333330E-03
-7.4898000000E-03,+1.666665E-03
-7.4896000000E-03,+4.999995E-03
-7.4894000000E-03,+6.666660E-03
-7.4892000000E-03,+4.999995E-03
-7.4890000000E-03,-1.166667E-02
-7.4888000000E-03,-1.666665E-03
-7.4886000000E-03,-1.666665E-03
-7.4884000000E-03,+1.500000E-02
-7.4882000000E-03,+1.000001E-02
-7.4880000000E-03,+1.000001E-02
-7.4878000000E-03,+6.666660E-03
-7.4876000000E-03,+0.000000E+00
-7.4874000000E-03,+4.999995E-03
-7.4872000000E-03,+0.000000E+00
-7.4870000000E-03,+4.999995E-03
-7.4868000000E-03,-1.666665E-03
-7.4866000000E-03,+1.333334E-02
-7.4864000000E-03,+1.000001E-02
-7.4862000000E-03,+1.000001E-02
-7.4860000000E-03,+0.000000E+00
-7.4858000000E-03,+3.333330E-03
-7.4856000000E-03,+3.333330E-03
-7.4854000000E-03,-1.666665E-03
-7.4852000000E-03,+8.333325E-03
-7.4850000000E-03,+1.000001E-02
-7.4848000000E-03,+1.666665E-03
-7.4846000000E-03,-8.333340E-03
-7.4844000000E-03,-1.333334E-02
-7.4842000000E-03,-1.666665E-03
-7.4840000000E-03,-4.999995E-03
-7.4838000000E-03,-4.999995E-03
-7.4836000000E-03,+1.166667E-02
-7.4834000000E-03,+3.333330E-03
-7.4832000000E-03,+1.833333E-02
-7.4830000000E-03,+8.333325E-03
-7.4828000000E-03,+1.833333E-02
-7.4826000000E-03,+0.000000E+00
